txn_id,txn_date,value_date,narration,ref_no,debit_amount,credit_amount,balance
BANK000197,02/06/2025,02/06/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN76294386,,"46,597.31","28,65,418.46"
BANK000198,02/06/2025,02/06/2025,RTGS-KKBK870147575042-RAZORPAY SOFTWARE PL-SETL,NEFTIN25409010,,"1,23,365.36","29,88,783.82"
BANK000199,02/06/2025,02/06/2025,UPI-SWIGGY INSTAMART-43055@ybl,,749.60,,"29,88,034.22"
BANK000200,02/06/2025,02/06/2025,UPI-MAKEMYTRIP HOLIDAYS-98863@okhdfc,,"2,668.76",,"29,85,365.46"
BANK000201,02/06/2025,02/06/2025,NEFT DR-URBAN LADDER RENT-88276,,"55,000.00",,"29,30,365.46"
BANK000202,02/06/2025,02/06/2025,SAL-NEFT-STAFF PAYROLL-36501,,"4,29,599.38",,"25,00,766.08"
BANK000203,03/06/2025,03/06/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN76625622,,"15,215.95","25,15,982.03"
BANK000204,04/06/2025,04/06/2025,NEFT-ICIC056683877971-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,ICIC056683877971,,"59,243.06","25,75,225.09"
BANK000205,05/06/2025,05/06/2025,NEFT CR 214751368951 RAZORPAY SOFTWARE,NEFTIN71709941,,"34,864.61","26,10,089.70"
BANK000206,05/06/2025,05/06/2025,UPI-BLUEDART EXPRESS-86056@paytm,,"1,595.33",,"26,08,494.37"
BANK000207,05/06/2025,05/06/2025,IMPS-P2A-COURIER DTDC-26659,,"2,850.61",,"26,05,643.76"
BANK000208,05/06/2025,05/06/2025,NEFT DR-AMAZON WEB SERVICES INDIA PL-INV42585,,"18,283.38",,"25,87,360.38"
BANK000209,06/06/2025,06/06/2025,NEFT-IDFB809588777825-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN65435193,,"44,254.10","26,31,614.48"
BANK000210,06/06/2025,06/06/2025,NEFT DR-VISTAPRINT MARKETING-29517,,"1,764.30",,"26,29,850.18"
BANK000211,06/06/2025,06/06/2025,IMPS-P2A-COURIER DTDC-59243,,"1,878.64",,"26,27,971.54"
BANK000212,07/06/2025,07/06/2025,BY TRANSFER-NEFT*YESB167997511171*RAZORPAY,YESB167997511171,,"35,624.33","26,63,595.87"
BANK000213,07/06/2025,07/06/2025,UPI-SWIGGY INSTAMART-47287@ybl,,708.01,,"26,62,887.86"
BANK000214,07/06/2025,07/06/2025,POS 4287XXXXXX INDIAN OIL-84777,,"6,850.49",,"26,56,037.37"
BANK000215,07/06/2025,07/06/2025,TDS PAYMENT-CBDT-74020,,"42,745.00",,"26,13,292.37"
BANK000216,09/06/2025,09/06/2025,NEFT CR-IDFB833405909826-RAZORPAY SOFTWARE PVT LTD,NEFTIN60044730,,"70,115.05","26,83,407.42"
BANK000217,09/06/2025,09/06/2025,NEFT CR 8402281364 RAZORPAY SOFTWARE,NEFTIN50661858,,"96,241.48","27,79,648.90"
BANK000218,09/06/2025,09/06/2025,IMPS-P2A-COURIER DTDC-60696,,"2,454.79",,"27,77,194.11"
BANK000219,10/06/2025,10/06/2025,NEFT CR-KKBK841025185318-RAZORPAY SOFTWARE PVT LTD,NEFTIN38512699,,"75,599.69","28,52,793.80"
BANK000220,10/06/2025,10/06/2025,NEFT DR-VISTAPRINT MARKETING-77056,,806.39,,"28,51,987.41"
BANK000221,10/06/2025,10/06/2025,IMPS-P2A-FREELANCE DESIGN-78336,,"4,489.65",,"28,47,497.76"
BANK000222,12/06/2025,12/06/2025,NEFT-IDFB550246685114-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN43147693,,"16,286.44","28,63,784.20"
BANK000223,12/06/2025,12/06/2025,NEFT DR-VISTAPRINT MARKETING-58096,,"1,084.20",,"28,62,700.00"
BANK000224,12/06/2025,12/06/2025,POS 4287XXXXXX BIG BAZAAR-21623,,"1,841.04",,"28,60,858.96"
BANK000225,12/06/2025,12/06/2025,UPI-MAKEMYTRIP HOLIDAYS-99875@okhdfc,,"2,370.21",,"28,58,488.75"
BANK000226,12/06/2025,12/06/2025,UPI-BHARTI AIRTEL-44359@icici,,"2,499.00",,"28,55,989.75"
BANK000227,13/06/2025,13/06/2025,NEFT CR 1280354775 RAZORPAY SOFTWARE,NEFTIN94111206,,"1,27,439.31","29,83,429.06"
BANK000228,13/06/2025,13/06/2025,NEFT DR-VISTAPRINT MARKETING-65726,,304.60,,"29,83,124.46"
BANK000229,14/06/2025,14/06/2025,NEFT-YESB-6463 1919 4692-RAZORPAY SOFTWARE PVT LTD,NEFTIN67889503,,"14,937.93","29,98,062.39"
BANK000230,14/06/2025,14/06/2025,RTGS-HDFC985920696216-RAZORPAY SOFTWARE PL-SETL,HDFC985920696216,,"31,787.67","30,29,850.06"
BANK000231,16/06/2025,16/06/2025,NEFT-KKBK381028899524-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,KKBK381028899524,,"36,288.52","30,66,138.58"
BANK000232,16/06/2025,16/06/2025,NEFT CR-SBIN732495292352-RAZORPAY SOFTWARE PVT LTD,SBIN732495292352,,"36,876.05","31,03,014.63"
BANK000233,16/06/2025,16/06/2025,IMPS-P2A-COURIER DTDC-85867,,"2,693.83",,"31,00,320.80"
BANK000234,16/06/2025,16/06/2025,UPI-MAKEMYTRIP HOLIDAYS-54994@okhdfc,,"5,845.60",,"30,94,475.20"
BANK000235,17/06/2025,17/06/2025,BY TRANSFER-NEFT*UTIB724697112874*RAZORPAY,UTIB724697112874,,"56,238.75","31,50,713.95"
BANK000236,17/06/2025,17/06/2025,IMPS-P2A-FREELANCE DESIGN-18381,,"3,734.11",,"31,46,979.84"
BANK000237,18/06/2025,18/06/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN50371184,,"1,018.38","31,47,998.22"
BANK000238,18/06/2025,18/06/2025,BY TRANSFER-NEFT*ICIC592304959478*RAZORPAY,NEFTIN57833490,,"12,524.40","31,60,522.62"
BANK000239,18/06/2025,18/06/2025,RTGS-IDFB610369544244-RAZORPAY SOFTWARE PL-SETL,NEFTIN82345350,,"12,573.95","31,73,096.57"
BANK000240,18/06/2025,18/06/2025,UPI-BLUEDART EXPRESS-63144@paytm,,"1,700.76",,"31,71,395.81"
BANK000241,19/06/2025,19/06/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN88150804,,"14,359.63","31,85,755.44"
BANK000242,19/06/2025,19/06/2025,NEFT DR-VISTAPRINT MARKETING-61768,,318.66,,"31,85,436.78"
BANK000243,20/06/2025,20/06/2025,NEFT CR 6226173946 RAZORPAY SOFTWARE,NEFTIN18945409,,"28,421.46","32,13,858.24"
BANK000244,20/06/2025,20/06/2025,IMPS-P2A-FREELANCE DESIGN-22090,,"2,067.21",,"32,11,791.03"
BANK000245,20/06/2025,20/06/2025,UPI-SWIGGY INSTAMART-82789@ybl,,"2,217.78",,"32,09,573.25"
BANK000246,20/06/2025,20/06/2025,UPI-MAKEMYTRIP HOLIDAYS-57917@okhdfc,,"5,462.89",,"32,04,110.36"
BANK000247,21/06/2025,21/06/2025,NEFT-KKBK-7818 6046 2839-RAZORPAY SOFTWARE PVT LTD,NEFTIN28359805,,"22,034.43","32,26,144.79"
BANK000248,21/06/2025,21/06/2025,UPI-BLUEDART EXPRESS-34990@paytm,,358.62,,"32,25,786.17"
BANK000249,21/06/2025,21/06/2025,POS 4287XXXXXX INDIAN OIL-64033,,"1,993.06",,"32,23,793.11"
BANK000250,23/06/2025,23/06/2025,RTGS-UTIB633495365399-RAZORPAY SOFTWARE PL-SETL,NEFTIN30201734,,"37,506.02","32,61,299.13"
BANK000251,23/06/2025,23/06/2025,UPI-SWIGGY INSTAMART-91289@ybl,,"1,383.13",,"32,59,916.00"
BANK000252,23/06/2025,23/06/2025,POS 4287XXXXXX BIG BAZAAR-87188,,"2,758.37",,"32,57,157.63"
BANK000253,23/06/2025,23/06/2025,GST PAYMENT-CBIC-69720,,"43,220.00",,"32,13,937.63"
BANK000254,24/06/2025,24/06/2025,NEFT CR-YESB099312280283-RAZORPAY SOFTWARE PVT LTD,YESB099312280283,,"62,293.24","32,76,230.87"
BANK000255,24/06/2025,24/06/2025,IMPS-P2A-COURIER DTDC-41113,,"1,481.62",,"32,74,749.25"
BANK000256,24/06/2025,24/06/2025,IMPS-P2A-FREELANCE DESIGN-57232,,"3,132.81",,"32,71,616.44"
BANK000257,26/06/2025,26/06/2025,RTGS-SBIN174212059869-RAZORPAY SOFTWARE PL-SETL,NEFTIN08485821,,"32,368.39","33,03,984.83"
BANK000258,26/06/2025,26/06/2025,POS 4287XXXXXX BIG BAZAAR-12190,,"1,781.09",,"33,02,203.74"
BANK000259,26/06/2025,26/06/2025,NEFT DR-VISTAPRINT MARKETING-87558,,"2,066.35",,"33,00,137.39"
BANK000260,26/06/2025,26/06/2025,POS 4287XXXXXX INDIAN OIL-22077,,"2,375.44",,"32,97,761.95"
BANK000261,27/06/2025,27/06/2025,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT,NEFTIN54302183,,"32,376.39","33,30,138.34"
BANK000262,27/06/2025,27/06/2025,UPI-MAKEMYTRIP HOLIDAYS-35683@okhdfc,,"5,278.23",,"33,24,860.11"
BANK000263,28/06/2025,28/06/2025,POS 4287XXXXXX INDIAN OIL-84753,,"2,891.15",,"33,21,968.96"
BANK000264,30/06/2025,30/06/2025,BY TRANSFER-NEFT*ICIC445069424987*RAZORPAY,ICIC445069424987,,"82,764.63","34,04,733.59"
BANK000265,01/07/2025,01/07/2025,NEFT CR-HDFC005943015274-RAZORPAY SOFTWARE PVT LTD,NEFTIN84133030,,"70,336.78","34,75,070.37"
